  kx         ky         kz
  1.118390   -1.473476   -4.487990  
  1.294806   -1.294806   -4.487990  
  1.294806   -1.294806   -4.487990  
  1.473476   -1.118390   -4.487990  
  1.657068   -0.941581   -4.487990  
  1.848398   -0.761415   -4.487990  
  2.050393   -0.573556   -4.487990  
  2.265540   -0.367627   -4.487990  
  2.485788   -0.064757   -4.487990  
  2.485788   0.064757   -4.487990  


  2.514542   0.048254   -4.231533  
  2.288776   0.360715   -4.231533  
  2.067741   0.566826   -4.231533  
  1.860492   0.755308   -4.231533  
  1.664512   0.936797   -4.231533  
  1.476880   1.115650   -4.231533  
  1.294806   1.294806   -4.231533  
  1.294806   1.294806   -4.231533  
  1.115650   1.476880   -4.231533  
  0.936797   1.664512   -4.231533  
  0.755308   1.860492   -4.231533  
  0.566826   2.067741   -4.231533  
  0.360715   2.288776   -4.231533  
  0.048254   2.514542   -4.231533  
  -0.048254   2.514542   -4.231533  
  -0.360715   2.288776   -4.231533  
  -0.566826   2.067741   -4.231533  
  -0.755308   1.860492   -4.231533  
  -0.936797   1.664512   -4.231533  
  -1.115650   1.476880   -4.231533  
  -1.294806   1.294806   -4.231533  
  -1.294806   1.294806   -4.231533  
  -1.476880   1.115650   -4.231533  
  -1.664512   0.936797   -4.231533  
  -1.860492   0.755308   -4.231533  
  -2.067741   0.566826   -4.231533  
  -2.288776   0.360715   -4.231533  
  -2.514542   0.048254   -4.231533  
  -2.514542   -0.048254   -4.231533  
  -2.288776   -0.360715   -4.231533  
  -2.067741   -0.566826   -4.231533  
  -1.860492   -0.755308   -4.231533  
  -1.664512   -0.936797   -4.231533  
  -1.476880   -1.115650   -4.231533  
  -1.294806   -1.294806   -4.231533  
  -1.294806   -1.294806   -4.231533  
  -1.115650   -1.476880   -4.231533  
  -0.936797   -1.664512   -4.231533  
  -0.755308   -1.860492   -4.231533  
  -0.566826   -2.067741   -4.231533  
  -0.360715   -2.288776   -4.231533  
  -0.048254   -2.514542   -4.231533  
  0.048254   -2.514542   -4.231533  
  0.360715   -2.288776   -4.231533  
  0.566826   -2.067741   -4.231533  
  0.755308   -1.860492   -4.231533  
  0.936797   -1.664512   -4.231533  
  1.115650   -1.476880   -4.231533  
  1.294806   -1.294806   -4.231533  
  1.294806   -1.294806   -4.231533  
  1.476880   -1.115650   -4.231533  
  1.664512   -0.936797   -4.231533  
  1.860492   -0.755308   -4.231533  
  2.067741   -0.566826   -4.231533  
  2.288776   -0.360715   -4.231533  
  2.514542   -0.048254   -4.231533  
  2.514542   0.048254   -4.231533  


  2.544125   0.034958   -3.975076  
